Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_Name,SRA Study,Submitter_Id,create_date,version,Library Name,sample_source
ERR9709633,WGS,302,3762595954,PRJEB49334,SAMEA14357375,1404733635,GENOME INSTITRUTE OF SINGAPORE,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9258955,SAMEA14357375,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T08:54:18Z,2022-05-10T08:54:18Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357375,ena-SAMPLE-TAB-06-05-2022-18:06:29:418-3516,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:418-3516,2022-05-15T00:55:00Z,1,,MHH630
ERR9709635,WGS,300,2192410200,PRJEB49334,SAMEA14357347,929207684,GENOME INSTITRUTE OF SINGAPORE,public,"realign,sra,fastq,wgmlst_sig,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9258957,SAMEA14357347,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T08:54:18Z,2022-05-10T08:54:18Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357347,ena-SAMPLE-TAB-06-05-2022-18:06:29:417-3488,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:417-3488,2022-05-15T00:53:00Z,1,,MBH042
ERR9709637,WGS,302,2551883994,PRJEB49334,SAMEA14357336,1076138209,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9258959,SAMEA14357336,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T08:54:18Z,2022-05-10T08:54:18Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Enterobacter cloacae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357336,ena-SAMPLE-TAB-06-05-2022-18:06:29:416-3477,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:416-3477,2022-05-15T00:54:00Z,1,,MHH572
ERR9709639,WGS,302,2167266156,PRJEB49334,SAMEA14357424,918477488,GENOME INSTITRUTE OF SINGAPORE,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9258961,SAMEA14357424,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T08:54:18Z,2022-05-10T08:54:18Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357424,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3565,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3565,2022-05-15T00:52:00Z,1,,MHH340
ERR9709640,WGS,302,1697823162,PRJEB49334,SAMEA14357405,747522249,GENOME INSTITRUTE OF SINGAPORE,public,"wgmlst_sig,sra,fastq,realign,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9258962,SAMEA14357405,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T08:54:19Z,2022-05-10T08:54:19Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357405,ena-SAMPLE-TAB-06-05-2022-18:06:29:419-3546,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:419-3546,2022-05-15T00:51:00Z,1,,MHH386
ERR9709641,WGS,302,3730821326,PRJEB49334,SAMEA14357374,1387063456,GENOME INSTITRUTE OF SINGAPORE,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9258963,SAMEA14357374,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T08:54:18Z,2022-05-10T08:54:18Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357374,ena-SAMPLE-TAB-06-05-2022-18:06:29:418-3515,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:418-3515,2022-05-15T00:56:00Z,1,,MHH582
ERR9709643,WGS,302,3641785384,PRJEB49334,SAMEA14357458,1338023319,GENOME INSTITRUTE OF SINGAPORE,public,"run.zq,fastq,realign,wgmlst_sig,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9258965,SAMEA14357458,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T08:54:18Z,2022-05-10T08:54:18Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357458,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3599,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3599,2022-05-15T00:54:00Z,1,,MHS130
ERR9709646,WGS,302,2563608238,PRJEB49334,SAMEA14357452,1091539288,GENOME INSTITRUTE OF SINGAPORE,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9258968,SAMEA14357452,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T08:54:18Z,2022-05-10T08:54:18Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357452,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3593,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3593,2022-05-15T00:55:00Z,1,,MHH544
ERR9709647,WGS,302,3363295178,PRJEB49334,SAMEA14357435,1261449203,GENOME INSTITRUTE OF SINGAPORE,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9258969,SAMEA14357435,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T08:54:18Z,2022-05-10T08:54:18Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357435,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3576,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3576,2022-05-15T00:54:00Z,1,,MHS125
ERR9709649,WGS,302,2322028472,PRJEB49334,SAMEA14357406,995345494,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9258971,SAMEA14357406,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:42Z,2022-05-10T13:02:42Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357406,ena-SAMPLE-TAB-06-05-2022-18:06:29:419-3547,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:419-3547,2022-05-15T00:54:00Z,1,,MHH386
