Read_file	Genome_file	Adjusted_ANI	Naive_ANI	ANI_5-95_percentile	Eff_cov	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov	Containment_ind	Contig_name
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/015/865/GCF_000015865.1_genomic.fna.gz	100.00	93.95	100.64-102.96	0.088	0.088	0.06-0.12	1	0.155	505/3491	NC_009012.1 Acetivibrio thermocellus ATCC 27405, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/308/215/GCF_000308215.1_genomic.fna.gz	100.00	95.51	100.90-102.58	0.159	0.159	0.11-0.19	1	0.262	631/2623	NZ_CAJE01000026.1 Methanomassiliicoccus luminyensis B10, whole genome shotgun sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/021/645/GCF_000021645.1_genomic.fna.gz	100.00	95.86	100.46-101.98	0.202	0.202	0.15-0.24	1	0.296	481/1782	NC_011661.1 Dictyoglomus turgidum DSM 6724, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/015/805/GCF_000015805.1_genomic.fna.gz	100.00	99.45	99.97-100.57	1.312	1.312	1.18-1.53	2	1.773	1702/2021	NC_009073.1 Pyrobaculum calidifontis JCM 11548, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/017/205/GCF_000017205.1_genomic.fna.gz	100.00	92.14	99.20-101.67	0.070	0.070	0.04-0.10	1	0.099	505/6385	NC_009656.1 Pseudomonas aeruginosa PA7, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/196/135/GCF_000196135.1_genomic.fna.gz	100.00	98.46	100.17-100.57	0.788	0.788	0.71-0.86	1	0.893	1329/2149	NC_005090.1 Wolinella succinogenes DSM 1740, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/007/185/GCF_000007185.1_genomic.fna.gz	100.00	99.29	100.01-100.36	1.395	1.395	1.25-1.53	2	1.538	1411/1759	NC_003551.1 Methanopyrus kandleri AV19, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/016/125/GCF_000016125.1_genomic.fna.gz	100.00	99.53	100.00-100.26	1.721	1.721	1.55-1.91	2	2.265	1526/1765	NC_009135.1 Methanococcus maripaludis C5, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/017/945/GCF_000017945.1_genomic.fna.gz	100.00	98.93	99.88-100.39	1.148	1.148	0.98-1.30	2	1.335	946/1322	NC_009776.1 Ignicoccus hospitalis KIN4/I, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/008/565/GCF_000008565.1_genomic.fna.gz	100.00	98.71	99.92-100.26	1.028	1.028	0.95-1.11	1	1.156	2115/3162	NC_001263.1 Deinococcus radiodurans R1 chromosome 1, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/020/225/GCF_000020225.1_genomic.fna.gz	100.00	99.72	100.02-100.18	2.181	2.181	1.99-2.32	2	2.451	2440/2661	NC_010655.1 Akkermansia muciniphila ATCC BAA-835, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/016/065/GCF_000016065.1_genomic.fna.gz	100.00	98.10	99.85-100.15	0.780	0.780	0.73-0.83	1	0.818	2520/4572	NC_009092.1 Shewanella loihica PV-4, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCA/003/510/745/GCA_003510745.1_genomic.fna.gz	100.00	98.85	99.76-100.23	1.168	1.168	1.01-1.33	1	1.208	1084/1551	DOKW01000009.1 MAG TPA_asm: Sulfurihydrogenibium sp. isolate UBA8851 contig_10540, whole genome shotgun sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/010/305/GCF_000010305.1_genomic.fna.gz	100.00	100.00	NA-NA	27.845	HIGH	NA-NA	28	27.730	4657/4657	NC_012489.1 Gemmatimonas aurantiaca T-27, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/021/565/GCF_000021565.1_genomic.fna.gz	100.00	100.00	NA-NA	16.339	HIGH	NA-NA	16	16.339	1999/1999	NC_012440.1 Persephonella marina EX-H1, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/001/639/275/GCF_001639275.1_genomic.fna.gz	100.00	100.00	NA-NA	9.960	HIGH	NA-NA	10	9.858	2059/2059	NZ_LWMU01000001.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000001, whole genome shotgun sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/016/785/GCF_000016785.1_genomic.fna.gz	100.00	100.00	NA-NA	27.065	HIGH	NA-NA	25	25.675	1762/1762	NC_009486.1 Thermotoga petrophila RKU-1, complete sequence
pac_mock2_1gb.fq	gtdb_genomes_reps_r214/database/GCF/000/016/545/GCF_000016545.1_genomic.fna.gz	100.00	100.00	NA-NA	26.653	HIGH	NA-NA	26	26.643	2756/2757	NC_009437.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete sequence
